date,open,close,high,low,volume,money
2021-01-19,7.66,9.19,9.19,7.66,263895.0,2420146.05
2021-01-20,10.11,10.11,10.11,10.11,104705.0,1058567.55
2021-01-21,11.12,11.12,11.12,11.12,89606.0,996418.72
2021-01-22,12.23,12.23,12.23,12.23,431969.0,5282980.87
2021-01-25,13.45,13.45,13.45,13.45,257017.0,3456878.65
2021-01-26,14.8,14.8,14.8,14.8,129325.0,1914010.0
2021-01-27,16.28,16.28,16.28,16.28,759611.0,12366467.08
2021-01-28,17.91,17.91,17.91,17.91,902710.0,16167536.1
2021-01-29,16.12,16.12,16.12,16.12,3218900.0,51888668.0
2021-02-01,14.53,17.73,17.73,14.51,23060597.0,359525831.16
2021-02-02,18.55,19.5,19.5,17.95,19730820.0,375268670.16
2021-02-03,17.55,17.84,20.49,17.55,26668702.0,494921327.87
2021-02-04,17.96,16.06,18.24,16.06,16731008.0,280791123.51
2021-02-05,15.49,16.4,17.58,14.96,19270969.0,311968178.07
2021-02-08,16.0,14.85,16.05,14.76,15084517.0,231468625.08
2021-02-09,14.45,14.32,14.85,14.0,11227848.0,160141557.57
2021-02-10,14.23,13.62,14.7,13.62,8432817.0,118736267.5
2021-02-18,13.82,13.93,14.26,13.6,7362548.0,102387898.17
2021-02-19,13.83,14.85,15.3,13.83,12328081.0,180156279.78
2021-02-22,14.65,14.45,15.19,14.36,13378965.0,196694669.5
2021-02-23,14.28,13.9,14.36,13.88,7157446.0,100314388.0
2021-02-24,13.75,14.13,14.51,13.75,6223979.0,88187465.77
2021-02-25,14.03,13.9,14.25,13.86,5408032.0,75834030.66
2021-02-26,13.5,13.33,13.53,13.2,5902491.0,78700489.51
2021-03-01,13.42,13.54,13.56,13.33,3472049.0,46771623.84
2021-03-02,13.6,13.35,13.6,13.2,3553371.0,47490681.38
2021-03-03,13.23,13.45,13.53,13.23,3073534.0,41232587.24
2021-03-04,13.38,13.21,13.44,13.21,2961054.0,39411391.94
2021-03-05,13.12,13.2,13.29,12.91,2998839.0,39237777.44
2021-03-08,13.31,13.79,14.05,13.26,5977130.0,81037674.57
2021-03-09,13.91,13.2,13.91,12.99,4560220.0,61418428.3
2021-03-10,13.27,13.7,13.88,13.1,5008166.0,67688103.5
2021-03-11,13.56,13.73,13.8,13.52,4137195.0,56457425.51
2021-03-12,13.7,13.3,13.7,13.26,3716128.0,49841858.29
2021-03-15,13.3,14.63,14.63,13.2,12021650.0,172456944.64
2021-03-16,15.13,16.09,16.09,15.13,8819210.0,138456596.15
2021-03-17,17.26,17.7,17.7,15.8,11757857.0,199623216.19
2021-03-18,18.96,17.73,18.96,16.89,26385586.0,472132273.35
2021-03-19,17.0,19.5,19.5,16.77,24207919.0,456130742.1
