date,open,close,high,low,volume,money
2021-01-27,37.0,39.94,46.5,35.06,15551081.0,623533077.35
2021-01-28,35.0,48.0,49.5,33.51,14931819.0,616707766.78
2021-01-29,48.8,91.0,150.0,45.33,17051919.0,1107195747.28
2021-02-01,88.0,120.8,133.0,88.0,15680841.0,1688593140.22
2021-02-02,102.08,77.06,114.8,76.8,13035806.0,1213360202.08
2021-02-03,72.0,92.47,92.47,67.87,13301424.0,1021597268.64
2021-02-04,86.0,95.0,103.99,84.0,13349913.0,1257145034.91
2021-02-05,92.22,81.68,99.0,80.01,9211840.0,825957209.17
2021-02-08,78.5,79.99,87.29,73.26,9269579.0,739266479.84
2021-02-09,79.0,65.22,79.88,64.0,9894821.0,706482713.68
2021-02-10,63.0,73.84,78.26,63.0,10638683.0,752349603.38
2021-02-18,72.5,73.79,80.9,71.5,9173002.0,693029386.16
2021-02-19,75.0,88.55,88.55,74.02,11310619.0,930475716.63
2021-02-22,84.0,91.99,97.75,82.0,12226759.0,1097003052.74
2021-02-23,87.38,91.15,99.0,85.05,10336741.0,965026420.65
2021-02-24,88.0,88.05,95.15,87.13,7756464.0,703335437.23
2021-02-25,92.45,99.99,103.0,92.22,10333780.0,1013698392.2
2021-02-26,96.99,89.96,103.96,88.5,9294652.0,915966735.93
2021-03-01,87.0,90.41,92.8,85.33,7680286.0,680528056.97
2021-03-02,93.0,106.0,106.0,92.42,10540292.0,1043317519.15
2021-03-03,102.2,109.71,112.98,100.16,9433300.0,1005310155.58
2021-03-04,108.0,108.31,112.42,102.82,7974946.0,865304110.85
2021-03-05,109.36,112.51,116.0,106.35,8003073.0,896554369.67
2021-03-08,115.0,110.0,117.5,109.21,7548864.0,851706378.4
2021-03-09,105.55,90.0,108.25,88.8,8235917.0,792796139.23
2021-03-10,90.0,94.7,98.25,90.0,6398635.0,606828884.63
2021-03-11,96.0,89.45,96.0,83.6,7396732.0,653687679.51
2021-03-12,88.5,85.29,91.21,82.98,6955352.0,601342876.2
2021-03-15,82.2,79.17,84.28,78.3,5469032.0,442975746.2
2021-03-16,80.5,83.74,84.35,80.5,5918605.0,489299806.56
2021-03-17,82.0,89.16,90.5,80.6,7384827.0,633048027.32
2021-03-18,86.92,85.37,89.0,84.9,6471208.0,559629710.03
2021-03-19,83.39,81.67,86.45,81.6,5068187.0,424077229.38
