date,open,close,high,low,volume,money
2020-02-13,79.66,73.42,79.66,68.25,33078569.0,2403350966.45
2020-02-14,72.83,65.46,72.83,65.21,16988052.0,1157344860.18
2020-02-17,63.9,66.39,68.24,63.3,12951306.0,850749329.41
2020-02-18,65.13,64.17,67.06,63.31,10516372.0,677413998.77
2020-02-19,64.01,60.33,64.4,59.95,9749204.0,599563499.03
2020-02-20,60.65,57.49,61.38,57.24,9161217.0,534919496.12
2020-02-21,57.18,57.52,60.05,55.57,9486210.0,547532813.04
2020-02-24,56.97,57.67,58.66,56.0,5879628.0,337540493.72
2020-02-25,56.27,59.2,59.75,55.62,8082104.0,472379752.62
2020-02-26,58.49,56.19,59.6,55.78,6541400.0,376099501.78
2020-02-27,56.26,52.32,56.94,52.02,6997160.0,378081098.52
2020-02-28,49.24,47.38,50.2,47.32,6615030.0,323519809.8
2020-03-02,48.08,49.1,49.97,47.59,4960066.0,241688311.97
2020-03-03,50.03,49.9,51.96,49.3,5831141.0,294164100.43
2020-03-04,49.04,48.89,49.54,47.43,4357871.0,211219084.91
2020-03-05,49.44,49.66,50.77,49.24,3860548.0,192617187.01
2020-03-06,48.6,49.81,50.73,48.55,3861534.0,191620729.14
2020-03-09,48.59,47.18,49.3,47.17,3437921.0,165325512.63
2020-03-10,46.41,47.76,47.83,44.87,4395547.0,204278134.95
2020-03-11,48.08,46.32,48.55,46.32,3059149.0,145190487.98
2020-03-12,45.54,44.62,46.03,44.36,2702842.0,122065147.58
2020-03-13,41.97,42.6,43.67,41.12,4088470.0,172128340.44
2020-03-16,42.9,39.63,43.18,39.36,3644573.0,151354234.67
2020-03-17,40.17,38.83,40.62,37.34,3679078.0,142340927.71
2020-03-18,39.24,37.65,39.98,37.41,3365879.0,131335997.15
2020-03-19,37.34,38.51,38.94,36.7,3121331.0,118237890.49
2020-03-20,38.77,38.74,39.51,38.03,2421713.0,94134571.2
2020-03-23,37.64,36.29,38.22,36.08,2451319.0,91004622.69
2020-03-24,37.16,37.19,37.44,35.56,2339290.0,85823769.75
2020-03-25,38.25,38.88,39.32,37.86,3638961.0,140662853.64
2020-03-26,38.25,37.16,38.5,36.98,2519703.0,95200820.74
2020-03-27,37.61,36.76,38.14,36.68,1736178.0,64817795.33
2020-03-30,36.36,35.3,36.36,34.79,2246838.0,79110479.34
2020-03-31,35.64,34.82,36.12,34.8,1386374.0,49100978.47
2020-04-01,34.64,35.03,35.85,34.5,1699606.0,59906308.2
