date,open,close,high,low,volume,money
2019-02-18,33.64,40.37,40.37,33.64,45527.0,1835522.68
2019-02-19,44.41,44.41,44.41,44.41,25100.0,1114597.75
2019-02-20,48.85,48.85,48.85,48.85,57796.0,2823183.7
2019-02-21,53.73,53.73,53.73,53.73,119188.0,6403725.0
2019-02-22,59.11,59.11,59.11,59.11,349730.0,20670952.12
2019-02-25,65.02,65.02,65.02,65.02,455782.0,29634002.22
2019-02-26,70.2,71.52,71.52,66.39,25685820.0,1772137117.32
2019-02-27,73.55,71.26,75.45,68.98,22157624.0,1590813918.87
2019-02-28,74.5,74.58,77.31,72.78,16763421.0,1250259005.97
2019-03-01,76.41,82.04,82.04,76.41,16212332.0,1284311507.02
2019-03-04,86.9,87.19,89.48,82.79,14965072.0,1285753319.61
2019-03-05,83.1,83.84,86.82,82.07,13460754.0,1132681028.8
2019-03-06,82.53,84.29,86.2,82.03,11171304.0,937121849.16
2019-03-07,82.57,84.92,91.31,81.74,15157247.0,1292834935.49
2019-03-08,80.23,83.61,87.57,79.28,12635427.0,1064487864.68
2019-03-11,85.96,86.11,88.3,81.19,9530556.0,813976724.72
2019-03-12,84.05,92.73,94.72,84.05,15789457.0,1429030093.97
2019-03-13,91.22,83.45,93.65,83.45,12492318.0,1092093714.68
2019-03-14,78.9,75.1,78.9,75.1,8108664.0,616472209.42
2019-03-15,75.27,71.81,75.94,70.68,10393584.0,760065274.73
2019-03-18,73.15,73.06,73.52,69.9,7826913.0,562730931.34
2019-03-19,72.5,73.94,74.29,71.83,6683368.0,489661222.43
2019-03-20,73.55,71.44,73.74,69.73,8250132.0,590430677.23
2019-03-21,71.26,72.16,73.53,70.49,7150612.0,512753808.89
2019-03-22,71.3,70.65,71.63,69.92,5130510.0,362660787.14
2019-03-25,68.68,69.39,70.18,68.01,4124965.0,285992360.23
2019-03-26,69.91,71.27,72.27,69.91,8075703.0,578067902.59
2019-03-27,71.69,66.86,71.92,66.51,8778354.0,599437288.12
2019-03-28,66.07,65.21,67.15,65.21,4723545.0,312587498.72
2019-03-29,65.41,67.0,67.99,65.35,5577957.0,373061654.52
2019-04-01,66.87,69.94,69.99,66.87,6361257.0,439015231.19
2019-04-02,69.83,68.21,70.21,67.81,6477562.0,444345576.6
2019-04-03,67.82,68.96,69.73,67.43,5167223.0,355988616.4
2019-04-04,69.26,71.66,72.47,68.69,7930648.0,559848666.05
2019-04-08,72.58,70.92,72.59,70.68,6312445.0,451349537.08
2019-04-09,64.04,63.83,65.91,63.83,6009539.0,385812283.5
2019-04-10,61.13,60.13,61.87,58.85,7787345.0,469969564.89
2019-04-11,60.32,61.21,62.46,60.18,5384295.0,330031132.63
2019-04-12,61.13,62.36,64.78,59.7,6715382.0,418842948.28
2019-04-15,62.51,60.17,62.92,60.16,5084976.0,312111414.35
2019-04-16,59.35,60.18,60.27,58.33,4039172.0,239144719.16
2019-04-17,59.66,60.77,61.83,59.36,5066636.0,308185332.77
2019-04-18,60.65,61.02,62.5,60.06,4855981.0,298760769.34
2019-04-19,60.28,60.08,61.01,59.65,3275514.0,197024076.93
2019-04-22,60.0,62.56,62.56,60.0,5949573.0,368083825.38
2019-04-23,62.55,68.53,68.82,61.62,12204766.0,809653436.59
2019-04-24,66.86,66.09,68.29,65.06,8587971.0,571147804.79
2019-04-25,65.45,66.85,71.32,64.61,9103290.0,623598307.74
2019-04-26,65.13,60.18,66.86,60.17,7806297.0,484602311.55
2019-04-29,60.03,54.16,60.03,54.16,5999719.0,336231655.44
2019-04-30,53.3,55.78,56.83,53.3,4121739.0,228303826.89
2019-05-06,53.51,53.47,57.31,51.6,4713069.0,257210566.95
2019-05-07,54.43,53.49,55.22,52.01,3651859.0,195723911.58
2019-05-08,51.48,52.09,53.0,51.25,3308234.0,173014580.69
2019-05-09,51.56,53.84,54.33,51.56,3713207.0,197468426.58
