date,open,close,high,low,volume,money
2021-01-20,130.0,164.5,190.0,126.0,9290743.0,1393387332.14
2021-01-21,173.0,172.22,180.02,166.11,6655219.0,1148526471.2
2021-01-22,164.0,151.1,171.33,148.18,5719900.0,916566714.9
2021-01-25,145.0,155.0,157.48,142.21,3738457.0,560894394.01
2021-01-26,150.1,137.0,155.56,137.0,3263647.0,477583247.25
2021-01-27,135.0,128.49,138.0,126.88,3393185.0,446671685.73
2021-01-28,126.0,117.16,130.99,115.8,3002079.0,369429690.44
2021-01-29,117.0,119.76,124.78,112.13,3451338.0,405315784.25
2021-02-01,118.0,126.5,129.66,115.5,3341891.0,412998757.68
2021-02-02,123.36,115.0,123.5,113.13,2997031.0,351753372.74
2021-02-03,112.0,107.69,113.58,105.5,2320517.0,252395528.34
2021-02-04,105.0,100.65,106.74,100.13,1900111.0,195394770.61
2021-02-05,100.96,96.69,103.75,96.48,1602070.0,161378731.42
2021-02-08,95.0,92.7,97.45,92.3,1411758.0,133902632.51
2021-02-09,92.07,93.3,94.5,91.32,1199975.0,111762463.27
2021-02-10,94.56,90.0,95.55,89.09,1397576.0,128043954.77
2021-02-18,91.57,93.55,96.26,91.18,1536101.0,144298168.79
2021-02-19,92.99,97.74,98.11,91.5,1960731.0,186021972.48
2021-02-22,96.0,94.4,97.99,94.02,1570139.0,150402449.54
2021-02-23,93.5,90.9,94.25,90.19,1098149.0,100285766.28
2021-02-24,90.21,95.99,99.88,90.21,2051863.0,196503466.48
2021-02-25,95.08,99.96,103.86,95.08,2012814.0,200671937.15
2021-02-26,97.0,92.65,98.61,92.42,1487920.0,141700746.31
2021-03-01,92.03,92.13,94.48,91.53,1083257.0,100400435.42
2021-03-02,93.11,93.77,94.38,91.51,931772.0,86605020.04
2021-03-03,93.01,92.27,93.28,91.68,820287.0,75607559.51
2021-03-04,92.46,86.68,92.7,86.2,1272655.0,113574017.87
2021-03-05,85.01,90.14,92.48,84.99,1172545.0,104828754.96
2021-03-08,90.6,90.55,93.65,89.72,1463028.0,134999457.2
2021-03-09,90.79,91.94,94.36,86.01,1646969.0,150287178.09
2021-03-10,93.0,97.19,97.65,90.05,2179392.0,206129116.27
2021-03-11,97.0,92.62,98.6,92.22,2055496.0,193673601.98
2021-03-12,90.39,88.36,91.01,87.65,1481808.0,132044249.07
2021-03-15,88.3,87.4,89.0,86.3,620712.0,54202700.32
2021-03-16,88.07,85.66,88.08,85.3,799815.0,68836683.64
2021-03-17,85.38,86.73,87.4,83.2,901927.0,76992331.59
2021-03-18,85.8,86.13,86.88,84.98,779912.0,67010816.28
2021-03-19,85.18,87.17,88.29,85.17,930062.0,81042794.32
