date,open,close,high,low,volume,money
2017-01-03,7.57,7.57,7.57,7.57,9092.0,68797.0
2017-01-04,8.32,8.32,8.32,8.32,7270.0,60486.0
2017-01-05,9.15,9.15,9.15,9.15,4393.0,40205.0
2017-01-06,10.07,10.07,10.07,10.07,7125.0,71762.0
2017-01-09,11.08,11.08,11.08,11.08,7678.0,85081.0
2017-01-10,12.19,12.19,12.19,12.19,13432.0,163693.0
2017-01-11,13.41,13.41,13.41,13.41,16141.0,216460.0
2017-01-12,14.75,14.75,14.75,14.75,16873.0,248896.0
2017-01-13,16.23,16.23,16.23,16.23,131010.0,2126236.0
2017-01-16,17.85,17.85,17.85,17.85,297087.0,5304338.0
2017-01-17,19.64,19.64,19.64,19.64,152397.0,2992471.0
2017-01-18,21.6,21.6,21.6,21.6,88515.0,1912233.0
2017-01-19,23.77,23.77,23.77,23.77,3004037.0,71396578.0
2017-01-20,25.26,26.15,26.15,25.21,8098221.0,209281620.0
2017-01-23,28.76,28.76,28.76,27.22,25049538.0,708365091.0
2017-01-24,27.8,27.17,28.25,26.93,15818125.0,437626702.0
2017-01-25,27.41,28.4,29.37,27.24,14546897.0,411136032.0
2017-01-26,28.19,29.68,30.31,27.72,10733940.0,308390892.0
2017-02-03,29.27,28.55,29.35,28.29,6084459.0,175190793.0
2017-02-06,28.97,30.43,30.98,28.97,9455305.0,283089804.0
2017-02-07,30.32,31.67,31.86,29.94,9447298.0,292653762.0
2017-02-08,31.19,34.84,34.84,30.98,7047441.0,231693290.0
2017-02-09,35.74,35.1,38.32,34.49,12188905.0,442277322.0
2017-02-10,35.25,37.36,37.69,34.75,8363153.0,304156465.0
2017-02-13,36.22,38.05,40.08,35.64,7990541.0,297736314.0
2017-02-14,37.75,37.35,38.06,36.9,5395933.0,201617939.0
2017-02-15,37.19,36.09,39.11,35.82,7441056.0,281675140.0
2017-02-16,35.39,36.41,37.59,35.02,6010802.0,219154815.0
2017-02-17,35.63,34.94,36.46,34.56,4773088.0,168673878.0
2017-02-20,34.63,35.66,35.93,34.36,3108632.0,109297574.0
2017-02-21,35.83,36.11,37.08,35.74,3213548.0,116916822.0
2017-02-22,35.58,35.82,36.15,35.04,2389133.0,85191427.0
2017-02-23,35.81,36.82,36.95,35.46,3272784.0,119466523.0
