date,open,close,high,low,volume,money
2021-01-13,65.5,64.0,75.88,61.63,10693863.0,719251281.66
2021-01-14,66.0,77.01,82.89,65.98,8677151.0,626685296.29
2021-01-15,71.85,70.0,79.11,68.33,5045541.0,369748973.7
2021-01-18,65.99,73.5,74.8,61.68,5530860.0,368132688.15
2021-01-19,69.9,67.83,72.68,67.75,2103496.0,147017392.92
2021-01-20,68.9,73.65,75.5,65.94,2874662.0,205849020.62
2021-01-21,74.0,78.45,83.93,70.0,2545885.0,196097727.97
2021-01-22,77.69,91.0,91.0,77.45,2563205.0,218052790.31
2021-01-25,92.0,92.6,95.99,85.2,3050375.0,273851279.42
2021-01-26,91.79,86.85,95.6,85.0,1757488.0,158783270.85
2021-01-27,86.86,92.5,94.8,83.5,2178547.0,194723257.07
2021-01-28,93.0,89.59,93.9,86.0,1208332.0,108636317.36
2021-01-29,89.6,86.8,92.6,86.3,1096125.0,97218212.89
2021-02-01,86.8,81.15,87.79,78.51,2282481.0,186700937.82
2021-02-02,80.7,78.35,84.33,77.02,1160317.0,93900594.14
2021-02-03,77.12,73.45,78.63,71.18,2167210.0,161342462.39
2021-02-04,73.14,76.52,79.0,73.14,1360701.0,103518022.35
2021-02-05,76.52,77.03,79.66,75.25,1001057.0,77278707.47
2021-02-08,80.0,77.0,80.11,73.5,651727.0,49870483.96
2021-02-09,74.5,75.46,78.43,74.5,969823.0,73541086.04
2021-02-10,75.98,76.5,77.27,75.0,553031.0,42035321.0
2021-02-18,77.5,77.43,79.38,76.5,665618.0,51710085.69
2021-02-19,78.6,84.08,85.65,77.0,743811.0,60722875.16
2021-02-22,84.0,89.45,89.8,83.02,787512.0,69231247.86
2021-02-23,89.45,89.11,90.48,83.58,703429.0,60987873.25
2021-02-24,87.16,89.58,92.79,87.12,816808.0,73282919.5
2021-02-25,89.58,89.8,90.95,88.01,439505.0,39413281.59
2021-02-26,88.0,86.6,89.9,84.0,688635.0,59331184.17
2021-03-01,87.56,101.71,102.98,87.56,2279047.0,218801850.46
2021-03-02,101.42,89.98,101.99,86.36,2763716.0,257844643.35
2021-03-03,86.9,89.88,91.88,84.0,1263819.0,110893082.86
2021-03-04,87.83,86.58,89.74,84.4,908954.0,78654709.88
2021-03-05,83.66,84.07,87.25,83.28,411782.0,35241377.48
2021-03-08,84.74,78.5,86.38,78.35,784584.0,64085986.26
2021-03-09,78.12,77.8,83.32,77.43,350339.0,27888377.52
2021-03-10,78.89,73.94,80.0,72.52,555508.0,41158077.39
2021-03-11,72.49,75.2,77.33,71.23,393627.0,29678444.52
2021-03-12,75.74,75.2,76.48,74.0,188329.0,14095267.71
2021-03-15,74.46,72.18,74.88,71.5,198729.0,14478643.57
2021-03-16,72.7,74.3,74.88,72.41,180150.0,13335290.3
2021-03-17,73.6,74.98,75.31,73.05,133953.0,9935944.83
2021-03-18,74.36,78.6,78.99,73.58,209797.0,15977561.3
2021-03-19,78.6,77.45,79.99,76.53,303540.0,23755940.13
