date,open,close,high,low,volume,money
2021-02-25,54.9,71.69,71.69,53.0,17249152.0,1029331915.79
2021-02-26,61.5,59.0,71.5,58.0,14027620.0,883367096.44
2021-03-01,56.5,54.55,63.38,52.01,11911740.0,680350931.99
2021-03-02,52.85,61.55,67.85,49.99,14521534.0,842088523.02
2021-03-03,58.5,53.84,58.78,53.6,12097678.0,674918327.21
2021-03-04,53.05,52.01,57.2,52.0,10823608.0,592902059.35
2021-03-05,49.82,45.43,49.82,45.1,10139407.0,475309811.75
2021-03-08,45.37,48.54,49.6,45.0,10228128.0,485651376.35
2021-03-09,47.0,42.01,47.0,41.3,7544213.0,333464153.74
2021-03-10,42.3,41.0,43.88,40.87,5430951.0,229780851.63
2021-03-11,40.02,41.97,42.88,40.02,5610029.0,235545976.99
2021-03-12,41.6,44.08,46.6,40.41,9267620.0,408663955.93
2021-03-15,42.84,46.13,47.5,41.55,9549434.0,424093875.56
2021-03-16,45.88,48.02,49.88,44.6,10287675.0,487894323.53
2021-03-17,46.51,45.3,47.35,44.71,7527032.0,345588431.1
2021-03-18,45.95,45.29,47.88,45.27,6281255.0,290916397.46
2021-03-19,44.01,46.64,47.5,43.0,7814897.0,361475975.8
