date,open,close,high,low,volume,money
2021-03-10,51.46,56.98,61.75,51.46,15066758.0,881116830.44
2021-03-11,51.28,53.86,59.45,51.28,13894696.0,744883926.08
2021-03-12,51.2,48.48,52.85,48.47,11626252.0,585159060.73
2021-03-15,46.31,44.32,46.85,44.02,8677990.0,393150430.98
2021-03-16,44.02,44.33,44.95,43.5,5283553.0,234297806.95
2021-03-17,44.02,44.51,45.05,43.59,4647812.0,206211321.76
2021-03-18,44.57,45.41,45.44,43.91,5905348.0,263238774.94
2021-03-19,45.1,45.95,48.48,44.66,7290138.0,340766455.66
